Date,Open,High,Low,Close,Adj Close,Volume
2016-12-28,429.230011,430.100006,418.540009,420.579987,420.579987,120500
2016-12-29,419.920013,422.140015,418.450012,420.320007,420.320007,118000
2016-12-30,421.980011,423.589996,417.029999,418.559998,418.559998,124200
2017-01-03,421.929993,426.920013,420.799988,422.350006,422.350006,201200
2017-01-04,424.410004,430.380005,421.899994,426.720001,426.720001,234800
2017-01-05,427.450012,429.790009,421.010010,422.519989,422.519989,257700
2017-01-06,422.529999,432.989990,422.529999,432.559998,432.559998,208300
2017-01-09,430.500000,433.779999,425.350006,426.380005,426.380005,216800
2017-01-10,428.790009,432.839996,424.820007,429.940002,429.940002,171400
2017-01-11,429.760010,430.049988,421.720001,425.739990,425.739990,115400
2017-01-12,423.529999,424.619995,421.440002,421.920013,421.920013,193000
2017-01-13,422.940002,426.480011,421.010010,424.450012,424.450012,112400
2017-01-17,424.269989,427.799988,420.279999,421.739990,421.739990,115700
2017-01-18,421.059998,422.589996,417.640015,421.730011,421.730011,162800
2017-01-19,420.549988,424.450012,415.000000,415.720001,415.720001,168900
2017-01-20,416.540009,419.850006,413.489990,415.000000,415.000000,195400
2017-01-23,415.970001,416.730011,408.970001,414.519989,414.519989,203000
2017-01-24,414.980011,417.619995,410.059998,417.500000,417.500000,229000
2017-01-25,416.459991,423.239990,416.459991,419.339996,419.339996,234900
2017-01-26,419.619995,421.750000,416.220001,421.220001,421.220001,109600
2017-01-27,420.269989,426.309998,419.309998,423.130005,423.130005,99500
2017-01-30,421.000000,422.510010,415.589996,422.059998,422.059998,166500
2017-01-31,422.350006,427.019989,420.029999,426.630005,426.630005,194800
2017-02-01,427.119995,435.890015,427.119995,435.500000,435.500000,375800
2017-02-02,434.420013,436.470001,430.589996,433.640015,433.640015,276000
2017-02-03,447.899994,467.140015,443.450012,462.670013,462.670013,506400
2017-02-06,461.809998,466.980011,457.989990,465.839996,465.839996,379800
2017-02-07,466.489990,467.690002,458.720001,463.230011,463.230011,275500
2017-02-08,462.329987,464.559998,459.339996,461.369995,461.369995,199500
