Period,Market Cap
4/14/2021,193391.6027
4/13/2021,193467.5418
4/12/2021,192935.968
4/9/2021,193163.7853
4/8/2021,191088.1163
4/7/2021,192682.8376
4/6/2021,191847.5074
4/5/2021,194910.3849
4/1/2021,195138.2022
3/31/2021,195138.2022
3/30/2021,194808.8634
3/29/2021,198200.8057
3/26/2021,195897.3225
3/25/2021,192486.5923
3/24/2021,192916.7582
3/23/2021,192992.6699
3/22/2021,196130.3506
3/19/2021,196130.3506
3/18/2021,195523.0576
3/17/2021,195598.9692
3/16/2021,194359.0792
3/15/2021,192891.4544
3/12/2021,188766.9224
3/11/2021,188842.8341
3/10/2021,189171.7845
3/9/2021,187602.9441
3/8/2021,187678.8557
3/5/2021,185047.2525
3/4/2021,182618.0803
3/3/2021,185477.4184
3/2/2021,184338.7439
3/1/2021,183149.4617
2/26/2021,183751.5261
2/25/2021,188812.1575
2/24/2021,188685.6417
2/23/2021,188609.7323
2/22/2021,189596.5554
2/19/2021,188027.7597
2/18/2021,190811.1069
2/17/2021,191140.048
2/16/2021,187875.9407
2/12/2021,189773.6775
2/11/2021,189115.7954
2/10/2021,189495.3428
2/9/2021,189874.8901
2/8/2021,189874.8901
2/5/2021,191797.9301
2/4/2021,192379.9027
2/3/2021,195644.0099
2/2/2021,196782.652
2/1/2021,195745.2226
1/29/2021,195004.5024
1/28/2021,197155.1943
1/27/2021,195004.5024
1/26/2021,203050.6205
1/25/2021,205327.8237
1/22/2021,204897.6853
1/21/2021,205403.7304
1/20/2021,208642.4195
1/19/2021,210489.4843
1/15/2021,210970.2272
1/14/2021,207908.654
1/13/2021,208338.7924
1/12/2021,210236.4617
1/11/2021,215069.193
1/8/2021,210084.6482
1/7/2021,212589.5717
1/6/2021,208440.0014
1/5/2021,205201.3124
1/4/2021,204847.0808
12/31/2020,206972.4704
12/30/2020,203895.4723
12/29/2020,205995.4008
12/28/2020,203541.2675
12/24/2020,202756.9568
12/23/2020,201795.5437
12/22/2020,200935.332
12/21/2020,200606.4276
12/18/2020,201213.6358
12/17/2020,201947.3458
12/16/2020,201972.6462
12/15/2020,203617.1685
12/14/2020,203212.363
12/11/2020,209891.6538
12/10/2020,209967.5549
12/9/2020,211181.9714
12/8/2020,210448.2614
12/7/2020,208753.1383
12/4/2020,207311.0187
12/3/2020,206071.3019
12/2/2020,207032.715
12/1/2020,206324.3053
11/30/2020,203389.4654
11/27/2020,202048.5472
11/25/2020,202554.5541
11/24/2020,202756.9568
11/23/2020,203111.1616
11/20/2020,203541.2675
11/19/2020,203389.4654
11/18/2020,203035.2606
11/17/2020,206197.8036
11/16/2020,202858.1582
11/13/2020,205160.4895
11/12/2020,202048.5472
11/11/2020,205084.5885
11/10/2020,205211.0902
11/9/2020,203667.7692
11/6/2020,203313.5644
11/5/2020,203566.5678
11/4/2020,203971.3733
11/3/2020,194610.246
11/2/2020,194078.9388
10/30/2020,190263.2571
10/29/2020,191983.494
10/28/2020,192717.1244
10/27/2020,197295.9902
10/26/2020,199446.2863
10/23/2020,201950.7488
10/22/2020,200382.2975
10/21/2020,197498.371
10/20/2020,198004.323
10/19/2020,199016.2271
10/16/2020,201950.7488
10/15/2020,200002.8335
10/14/2020,203670.9857
10/13/2020,204176.9377
10/12/2020,203291.5216
10/9/2020,203291.5216
10/8/2020,203595.0928
10/7/2020,202481.9984
10/6/2020,201444.7968
10/5/2020,205517.7105
10/2/2020,204404.6161
10/1/2020,206529.6146
9/30/2020,209843.6003
9/29/2020,207144.8461
9/28/2020,209319.9934
9/25/2020,209749.9644
9/24/2020,210306.3975
9/23/2020,208991.1921
9/22/2020,209775.2568
9/21/2020,210255.8126
9/18/2020,217034.1788
9/17/2020,216604.2078
9/16/2020,216427.1609
